20260918,10-en-homepage.job.md,OK,handoff/en-drafts/en-homepage.md (nemotron-3-super-120b-a12b:free)
20260918,11-en-faq.job.md,OK,handoff/en-drafts/en-faq.md (nemotron-3-super-120b-a12b:free)
20260918,12-en-cost-guide.job.md,OK,handoff/en-drafts/en-cost-guide.md (nemotron-3-super-120b-a12b:free)
20260918,13-en-elder-birthday.job.md,OK,handoff/en-drafts/en-elder-birthday.md (nemotron-3-super-120b-a12b:free)
20260918,14-en-houseparty.job.md,OK,handoff/en-drafts/en-houseparty.md (nemotron-3-super-120b-a12b:free)
20260918,15-en-picnicbox.job.md,OK,handoff/en-drafts/en-picnicbox.md (nemotron-3-super-120b-a12b:free)
20260918,20-gym-seed.job.md,OK,data/free-quota/gym-seeds/inquiry_20260918.md (nemotron-3-super-120b-a12b:free)
20260918,20-gym-seed.job.md,OK,data/free-quota/gym-seeds/inquiry_20260918.md (nemotron-3-super-120b-a12b:free | 審ISSUES)
20260918,weekly_review,OK,weekly_review_20260918.md (nemotron-3-super-120b-a12b:free)
20260918,vision-smoke-T-A4,OK,新居入厝.jpg (gemma-4-31b-it:free)
20260918,vision-smoke-T-A4,ERR:HTTPError,純白主題風生日派對.jpg (gemma-4-31b-it:free)
20260918,vision-retry-T-A4,ERR,純白主題風生日派對.jpg (gemma-4-31b-it:free)
20260919,20-gym-seed.job.md,OK,data/free-quota/gym-seeds/inquiry_20260919.md (nemotron-3-super-120b-a12b:free | 審ISSUES)
20260920,20-gym-seed.job.md,OK,data/free-quota/gym-seeds/inquiry_20260920.md (nemotron-3-super-120b-a12b:free | 審ISSUES)
20260921,20-gym-seed.job.md,OK,data/free-quota/gym-seeds/inquiry_20260921.md (nemotron-3-super-120b-a12b:free | 審PASS)
20260921,weekly_review,OK,weekly_review_20260921.md (nemotron-3-super-120b-a12b:free)
20260924,20-gym-seed.job.md,OK,data/free-quota/gym-seeds/inquiry_20260924.md (nemotron-3-super-120b-a12b:free | 審PASS)
20260924,30-music-prompt.job.md,OK,data/free-quota/music-prompts/plan_20260924.md (nemotron-3-super-120b-a12b:free | 審ISSUES)
20260924,31-image-plan.job.md,OK,data/free-quota/image-plans/plan_20260924.md (nemotron-3-super-120b-a12b:free | 審ISSUES)
20260924,32-style-taxonomy.job.md,OK,data/free-quota/style-taxonomy/taxonomy_v0.md (nemotron-3-super-120b-a12b:free | 審ISSUES)
20260924,10-open-todos.job.md,OK,data/free-quota/open-todos/todos_20260924.md (nemotron-3-super-120b-a12b:free | 審ISSUES | ctx讀到1檔;讀不到:TASK_QUEUE.md(超出 context 預算未讀);AGENT_CORE.md(超出 context 預算未讀))
20260924,20-gym-seed.job.md,OK,data/free-quota/gym-seeds/inquiry_20260924.md (dots-3-note-preview:free | 審稿失敗)
20260924,30-music-prompt.job.md,OK,data/free-quota/music-prompts/plan_20260924.md (nemotron-3-super-120b-a12b:free | 審ISSUES)
20260924,31-image-plan.job.md,OK,data/free-quota/image-plans/plan_20260924.md (nemotron-3-super-120b-a12b:free | 審ISSUES)
20260924,10-open-todos.job.md,OK,data/free-quota/open-todos/todos_20260924.md (nemotron-3-super-120b-a12b:free | 審ISSUES | ctx讀到3檔)
20260924,20-gym-seed.job.md,OK,data/free-quota/gym-seeds/inquiry_20260924.md (nemotron-3-super-120b-a12b:free | 審ISSUES)
20260924,30-music-prompt.job.md,OK,data/free-quota/music-prompts/plan_20260924.md (nemotron-3-super-120b-a12b:free | 審ISSUES)
20260924,31-image-plan.job.md,OK,data/free-quota/image-plans/plan_20260924.md (nemotron-3-super-120b-a12b:free | 審ISSUES)
20260924,10-open-todos.job.md,SKIP,單件題目只在第 1 班跑
20260924,20-gym-seed.job.md,SKIP,單件題目只在第 1 班跑
