source_file,source_format,source_bytes,output_file,output_bytes,width,height,alt_text,caption,usage_note
"IMG_20260612_145700.jpg","jpg",5216451,"maplab-icc-tainan-catering-table-overview-01.webp",267708,1800,1350,"MAPLAB Kitchen 大臺南會展中心企業會議茶點外燴桌全景，含手指食物、甜點與飲品配置","大臺南會展中心企業會議茶點｜MAPLAB Kitchen 精緻外燴桌面配置","hero wide table"
"IMG_20260612_145705.jpg","jpg",4477597,"maplab-icc-tainan-catering-table-overview-02.webp",323156,1800,2400,"MAPLAB Kitchen 大臺南會展中心活動茶點桌，展示甜點、鹹點與會議接待餐點","大臺南會展中心活動茶點與手指食物配置","section wide table"
"IMG_20260612_145735.jpg","jpg",5635156,"maplab-icc-tainan-corporate-tea-table-03.webp",304726,1800,1350,"MAPLAB Kitchen 台南會展中心企業茶會點心桌，適合研討會與工作會議休息時段","台南會展中心企業茶會點心桌配置","case section"
"IMG_20260612_145739.jpg","jpg",4503581,"maplab-icc-tainan-finger-food-dessert-display-04.webp",267426,1800,2400,"MAPLAB Kitchen 大臺南會展中心手指食物與甜點外燴陳列，方便來賓取用與交流","大臺南會展中心手指食物與甜點陳列","detail"
"IMG_20260612_145744.jpg","jpg",6270672,"maplab-icc-tainan-dessert-catering-detail-05.webp",518682,1800,2400,"MAPLAB Kitchen 台南企業活動甜點外燴細節，適合會議茶點與品牌接待","台南企業活動甜點外燴細節","detail"
"IMG_20260612_145746.jpg","jpg",4820755,"maplab-icc-tainan-refreshment-dessert-table-06.webp",282766,1800,2400,"MAPLAB Kitchen 大臺南會展中心茶點擺設，包含甜點、鹹點與桌面層次配置","大臺南會展中心茶點擺設與桌面層次","detail"
"IMG_20260612_145754.jpg","jpg",5479505,"maplab-icc-tainan-catering-closeup-07.webp",244604,1800,2400,"MAPLAB Kitchen 台南會展外燴餐點近景，呈現企業活動茶點與小份量餐點","台南會展外燴餐點近景","detail"
"IMG_20260612_145909.jpg","jpg",4122318,"maplab-icc-tainan-event-refreshment-table-08.webp",166650,1800,2400,"MAPLAB Kitchen 大臺南會展中心活動茶點外燴桌，適合企業會議與貴賓接待","大臺南會展中心活動茶點外燴桌","section"
"IMG_20260612_145919.jpg","jpg",4964946,"maplab-icc-tainan-vip-reception-catering-09.webp",147074,1800,1350,"MAPLAB Kitchen 大臺南會展中心貴賓接待茶點，安排好拿取的手指食物與甜點","大臺南會展中心貴賓接待茶點","section"
"IMG_20260612_145925.jpg","jpg",4335722,"maplab-icc-tainan-meeting-refreshment-10.webp",207604,1800,2400,"MAPLAB Kitchen 大臺南會展中心會議茶點規劃，適合中場休息與交流時段","大臺南會展中心會議茶點規劃","section"
"IMG_20260612_145930.jpg","jpg",5352952,"maplab-icc-tainan-corporate-catering-display-11.webp",203856,1800,2400,"MAPLAB Kitchen 台南企業外燴桌面陳列，呈現會展中心活動餐點與接待質感","台南企業外燴桌面陳列","section"
"IMG_1734.HEIC","heic",2811636,"maplab-icc-tainan-wide-refreshment-table-12.webp",173484,1800,1350,"MAPLAB Kitchen 大臺南會展中心企業會議茶點全景，展示外燴桌、飲品與點心配置","大臺南會展中心企業會議茶點全景","heic wide table"
"IMG_1735.HEIC","heic",2417515,"maplab-icc-tainan-dessert-and-drink-service-13.webp",158720,1800,1350,"MAPLAB Kitchen 大臺南會展中心茶點與飲品服務區，適合企業活動接待與會議休息","大臺南會展中心茶點與飲品服務區","heic section"
"IMG_1736.HEIC","heic",2556846,"maplab-icc-tainan-business-meeting-catering-14.webp",143676,1800,1350,"MAPLAB Kitchen 大臺南會展中心商務會議外燴，包含手指食物、甜點與接待餐桌","大臺南會展中心商務會議外燴餐桌","heic section"
